No.,UPT,ULTG,Lokasi,Nama Bay,Uraian Pekerjaan,Peralatan Padam,Padam,Sifat,PN Jawab,Awal HARI,Awal TGL,Awal BULAN,Awal TAHUN,Awal JAM,Akhir JAM,PERALATAN
22,DURIKOSAMBI,ULTG ANGKE,GI 150KV DADAP,Lontar #1,Perbaikan anomali indikasi Goose ID Absent pada relay Distance Bay Lontar 1,Lontar #1,150kV,3,MUPT,SABTU,25,MAY,2025,16:26,19:03,
23,DURIKOSAMBI,ULTG ANGKE,GI 150KV DADAP,TRAFO #1,Perbaikan anomali sample value alarm pada rele OCR HV dan rele differensia Bay Trafo #1,TRAFO #1,150kV,3,MUPT,MINGGU,7,JUL,2025,19:31,23:59,
24,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG BARU,5B4,Investigasi Spring PMT Discharge Fasa R 5B4,5B4,150kV,3,MUPT,SABTU,9,MAR,2025,16:36,19:41,
25,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG BARU,Bay Intertie A arah Muarakarang Lama #1,Investigasi Gangguan Bay Intertie A arah Muarakarang Lama #1,Bay Intertie A arah Muarakarang Lama #1,150kV,3,MUPT,JUMAT,12,JAN,2025,15:25,23:39,
26,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG BARU,Bay Muarakarang Baru #1,Perbaikan Hotspot klem SE Fasa R dan T Bay UGC GIS Muarakarang Baru #1,Bay Muarakarang Baru #1,150kV,3,MUPT,MINGGU,7,APR,2025,22:47,01:36,
27,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG BARU,CB 5B4 dan 5AB4,Perbaikan Hotspot CF PMS B4.1 dan B4.3,CB 5B4 dan 5AB4,150kV,3,MUPT,SABTU,6,APR,2025,21:27,23:45,
28,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG BARU,Tanpa padam,Perbaikan Hotspot PMS 5A3.2,Tanpa padam,150kV,5,MUPT,SENIN,18,MAR,2025,21:18,22:42,
29,DURIKOSAMBI,ULTG ANGKE,GI 150KV MUARAKARANG LAMA,Bay PLTU 5,Perbaikan PMS Line 5A7.3 (arah PLTU 5) macet,Bay PLTU 5,150kV,3,MUPT,MINGGU,18,FEB,2025,10:17,16:12,
30,GANDUL,ULTG GANDUL,GITET 500KV GANDUL,PMT 500KV 7AB3.2 FASA S,Perbaikan mekanik penggerak DS yang macet pada DS Pengapit 7AB3.2 Fasa S GITET GANDUL,PMT 500KV 7AB3.2 FASA S,500KV,3,MUPT,MINGGU,19,APR,2026,18:45,,
31,GANDUL,ULTG GANDUL,GITET 500KV DEPOK,PHT 150KV Cibinong #1,Perbaikan Hotspot Line Droper Bay Cibinong #1,PHT 150KV Cibinong #1,150KV,3,MUPT,RABU,22,APR,2026,02:07,,
